,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
0,30651240,40.657905,-73.927405,1935,,,09/15/1992,150000,1788,Duplex,2015,407000.0,1980,11203
1,124398177,40.822734,-73.950744,,,,09/16/2015,100000,,Cooperative,,,,10031
2,32042213,40.752545,-73.817785,1920,,,06/15/2015,850000,2500,SingleFamily,2015,671000.0,1605,11355
3,32225230,40.59215,-73.80178,1920,,,06/10/2013,130000,3000,Duplex,2015,275000.0,1296,11692
4,31947397,40.78021,-73.913559,1935,1.0,1,05/10/2013,765000,1800,MultiFamily2To4,2015,828000.0,1728,11105
5,32010727,40.7054,-73.898465,1930,3.0,17,03/09/2016,950000,1485,MultiFamily2To4,2015,625000.0,1200,11385
6,32058026,40.77312,-73.780605,1950,2.5,3,01/27/2016,785000,4000,SingleFamily,2015,765000.0,1025,11360
7,62648132,40.69928,-73.922695,2002,5.0,9,01/06/2014,700000,1498,MultiFamily2To4,2015,666000.0,3300,11237
8,31974775,40.739515,-73.85658,1910,,,10/08/2015,498000,2000,SingleFamily,2015,449000.0,1308,11368
9,72533539,40.773873,-73.94842,1965,1.0,2,10/21/2014,795000,,Cooperative,,,,10028
10,31941608,40.76537,-73.911239,1880,2.0,5,06/06/2013,775000,2425,MultiFamily2To4,2015,713000.0,1672,11103
11,32276552,40.629795,-74.118995,1920,2.5,3,12/09/2015,330000,3700,SingleFamily,2015,362000.0,2800,10310
12,32106294,40.69396,-73.856145,1930,2.0,3,04/10/2015,430000,1999,SingleFamily,2015,365000.0,1156,11421
13,79737944,40.733109,-73.743151,,,,09/24/2013,208000,,Cooperative,,,,11427
14,112086857,40.798023,-73.934806,2007,1.0,1,04/26/2011,496860,2500,Condominium,2014,120187.0,983,10035
15,32017888,40.705304,-73.870525,1930,2.0,4,,,3998,SingleFamily,2015,610000.0,1872,11385
16,32139000,40.69655,-73.78752,1925,1.0,3,12/03/2009,222600,2500,SingleFamily,2015,312000.0,1014,11433
17,121999772,40.724522,-73.979332,,1.0,2,08/19/2014,430000,,Cooperative,,,,10009
18,31499114,40.73034,-74.00595,1901,5.0,4,08/05/2014,11450000,2100,Townhouse,2014,8668000.0,4368,10014
19,32130751,40.71053,-73.81785,1940,2.0,4,,,2500,SingleFamily,2015,559000.0,1278,11435
20,89073115,40.708477,-73.944046,1920,,,11/20/2014,405000,,Condominium,2015,98102.0,768,11206
21,72525185,40.749591,-73.971786,,,,01/07/2016,895000,,Cooperative,,,,10017
22,97532790,40.713729,-74.008132,1915,3.5,5,07/14/2014,2780000,2446,MultiFamily2To4,,,3500,10007
23,32114334,40.67713,-73.852615,1925,1.0,3,01/27/2016,475000,1825,SingleFamily,2015,363000.0,1230,11417
24,31496111,40.724869,-73.981605,1900,,,02/25/2015,14550000,1680,Cooperative,2014,2548000.0,7527,10009
25,65317231,40.765132,-73.982383,2002,2.0,2,09/19/2008,2865000,,Condominium,2014,352059.0,1412,10019
26,89071900,40.742657,-73.95776,2007,1.0,1,06/01/2011,450000,,Condominium,2015,80131.0,696,11101
27,32128262,40.688215,-73.813144,1920,,,12/14/2015,198000,3747,SingleFamily,2015,503000.0,2375,11419
28,121421953,40.748828,-73.999549,,,,05/15/2014,107168,,Cooperative,,,,10001
29,31501530,40.73389,-74.00811,1985,1.0,0,08/25/2015,980000,,MultiFamily2To4,2014,203034.0,575,10014
30,120226913,40.709075,-74.009803,1920,,,08/23/2013,962246,,Condominium,2014,266650.0,1040,10005
31,32053030,40.741408,-73.790914,1953,,,04/06/2015,460000,,Condominium,2015,63687.0,801,11365
32,2106201344,40.81729,-73.94414,1899,5.0,6,07/24/2014,1600000,,Townhouse,,,4200,10030
33,32000300,40.725145,-73.86285,1936,2.0,3,02/22/2016,768100,2354,SingleFamily,2015,782000.0,1700,11374
34,123203382,40.665737,-73.952774,,,,01/04/2016,1225000,,Cooperative,,,,11225
35,32036574,40.769075,-73.79274,1953,2.0,3,05/04/2015,520000,1694,SingleFamily,2015,492000.0,1024,11358
36,80013172,40.760581,-73.972908,2003,3.5,3,12/26/2007,5243987,,Condominium,2014,878287.0,2302,10022
37,121423344,40.896369,-73.909019,1960,1.0,1,05/15/2014,160000,,Cooperative,,,,10471
38,32152475,40.724295,-73.73303,1930,,,08/19/2014,425000,4000,SingleFamily,2015,434000.0,1120,11428
