"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
30651240,40.657905,-73.927405,1935,NA,NA,1992-09-15,150000,1788,"Duplex",2015,407000,1980,11203,NA,NA
124398177,40.822734,-73.950744,NA,NA,NA,2015-09-16,100000,NA,"Cooperative",NA,NA,NA,10031,NA,NA
32042213,40.752545,-73.817785,1920,NA,NA,2015-06-15,850000,2500,"SingleFamily",2015,671000,1605,11355,NA,NA
32225230,40.59215,-73.80178,1920,NA,NA,2013-06-10,130000,3000,"Duplex",2015,275000,1296,11692,NA,NA
31947397,40.78021,-73.913559,1935,1,1,2013-05-10,765000,1800,"MultiFamily2To4",2015,828000,1728,11105,NA,NA
32010727,40.7054,-73.898465,1930,3,17,2016-03-09,950000,1485,"MultiFamily2To4",2015,625000,1200,11385,NA,NA
32058026,40.77312,-73.780605,1950,2.5,3,2016-01-27,785000,4000,"SingleFamily",2015,765000,1025,11360,NA,NA
62648132,40.69928,-73.922695,2002,5,9,2014-01-06,700000,1498,"MultiFamily2To4",2015,666000,3300,11237,NA,NA
31974775,40.739515,-73.85658,1910,NA,NA,2015-10-08,498000,2000,"SingleFamily",2015,449000,1308,11368,NA,NA
72533539,40.773873,-73.94842,1965,1,2,2014-10-21,795000,NA,"Cooperative",NA,NA,NA,10028,NA,NA
31941608,40.76537,-73.911239,1880,2,5,2013-06-06,775000,2425,"MultiFamily2To4",2015,713000,1672,11103,NA,NA
32276552,40.629795,-74.118995,1920,2.5,3,2015-12-09,330000,3700,"SingleFamily",2015,362000,2800,10310,NA,NA
32106294,40.69396,-73.856145,1930,2,3,2015-04-10,430000,1999,"SingleFamily",2015,365000,1156,11421,NA,NA
79737944,40.733109,-73.743151,NA,NA,NA,2013-09-24,208000,NA,"Cooperative",NA,NA,NA,11427,NA,NA
112086857,40.798023,-73.934806,2007,1,1,2011-04-26,496860,2500,"Condominium",2014,120187,983,10035,NA,NA
32017888,40.705304,-73.870525,1930,2,4,NA,NA,3998,"SingleFamily",2015,610000,1872,11385,"$699,000","http://www.zillow.com/homes/for_sale/32017888_zpid"
32139000,40.69655,-73.78752,1925,1,3,2009-12-03,222600,2500,"SingleFamily",2015,312000,1014,11433,"$430,000","http://www.zillow.com/homes/for_sale/32139000_zpid"
121999772,40.724522,-73.979332,NA,1,2,2014-08-19,430000,NA,"Cooperative",NA,NA,NA,10009,NA,NA
31499114,40.73034,-74.00595,1901,5,4,2014-08-05,11450000,2100,"Townhouse",2014,8668000,4368,10014,NA,NA
32130751,40.71053,-73.81785,1940,2,4,NA,NA,2500,"SingleFamily",2015,559000,1278,11435,"$729,000","http://www.zillow.com/homes/for_sale/32130751_zpid"
89073115,40.708477,-73.944046,1920,NA,NA,2014-11-20,405000,NA,"Condominium",2015,98102,768,11206,NA,NA
72525185,40.749591,-73.971786,NA,NA,NA,2016-01-07,895000,NA,"Cooperative",NA,NA,NA,10017,NA,NA
97532790,40.713729,-74.008132,1915,3.5,5,2014-07-14,2780000,2446,"MultiFamily2To4",NA,NA,3500,10007,NA,NA
32114334,40.67713,-73.852615,1925,1,3,2016-01-27,475000,1825,"SingleFamily",2015,363000,1230,11417,NA,NA
31496111,40.724869,-73.981605,1900,NA,NA,2015-02-25,14550000,1680,"Cooperative",2014,2548000,7527,10009,NA,NA
65317231,40.765132,-73.982383,2002,2,2,2008-09-19,2865000,NA,"Condominium",2014,352059,1412,10019,"$3,300,000","http://www.zillow.com/homes/for_sale/65317231_zpid"
89071900,40.742657,-73.95776,2007,1,1,2011-06-01,450000,NA,"Condominium",2015,80131,696,11101,"$885,000","http://www.zillow.com/homes/for_sale/89071900_zpid"
32128262,40.688215,-73.813144,1920,NA,NA,2015-12-14,198000,3747,"SingleFamily",2015,503000,2375,11419,NA,NA
121421953,40.748828,-73.999549,NA,NA,NA,2014-05-15,107168,NA,"Cooperative",NA,NA,NA,10001,NA,NA
31501530,40.73389,-74.00811,1985,1,0,2015-08-25,980000,NA,"MultiFamily2To4",2014,203034,575,10014,NA,NA
120226913,40.709075,-74.009803,1920,NA,NA,2013-08-23,962246,NA,"Condominium",2014,266650,1040,10005,NA,NA
32053030,40.741408,-73.790914,1953,NA,NA,2015-04-06,460000,NA,"Condominium",2015,63687,801,11365,NA,NA
2106201344,40.81729,-73.94414,1899,5,6,2014-07-24,1600000,NA,"Townhouse",NA,NA,4200,10030,NA,NA
32000300,40.725145,-73.86285,1936,2,3,2016-02-22,768100,2354,"SingleFamily",2015,782000,1700,11374,NA,NA
123203382,40.665737,-73.952774,NA,NA,NA,2016-01-04,1225000,NA,"Cooperative",NA,NA,NA,11225,NA,NA
32036574,40.769075,-73.79274,1953,2,3,2015-05-04,520000,1694,"SingleFamily",2015,492000,1024,11358,NA,NA
80013172,40.760581,-73.972908,2003,3.5,3,2007-12-26,5243987,NA,"Condominium",2014,878287,2302,10022,"$7,700,000","http://www.zillow.com/homes/for_sale/80013172_zpid"
121423344,40.896369,-73.909019,1960,1,1,2014-05-15,160000,NA,"Cooperative",NA,NA,NA,10471,NA,NA
32152475,40.724295,-73.73303,1930,NA,NA,2014-08-19,425000,4000,"SingleFamily",2015,434000,1120,11428,NA,NA
32302055,40.62177,-74.145355,1945,2,3,2013-08-07,405000,3200,"SingleFamily",2015,356000,1230,10302,NA,NA
72527751,40.763747,-73.965835,1960,1.5,1,2014-05-20,710000,NA,"Cooperative",NA,NA,NA,10065,NA,NA
30680276,40.62401,-73.991075,1935,2,4,2014-05-28,820000,3100,"SingleFamily",2013,285000,2040,11204,NA,NA
31521980,40.777465,-73.985702,1961,1,2,2013-06-06,1495000,79296,"Cooperative",2014,67777000,493268,10023,NA,NA
2099075333,40.77951,-73.91547,1910,2,5,NA,NA,2500,"MultiFamily2To4",NA,NA,2000,11105,"$1,595,888","http://www.zillow.com/homes/for_sale/2099075333_zpid"
2099542278,40.668,-73.9385,1901,3,7,NA,NA,NA,"Townhouse",NA,NA,3612,11213,"$1,200,000","http://www.zillow.com/homes/for_sale/2099542278_zpid"
32186160,40.684225,-73.78925,1920,2,2,NA,NA,1999,"SingleFamily",2015,291000,868,11434,"$355,000","http://www.zillow.com/homes/for_sale/32186160_zpid"
2102740152,40.7675,-73.9703,1931,4,2,NA,NA,NA,"Cooperative",NA,NA,NA,10065,"$14,500,000","http://www.zillow.com/homes/for_sale/2102740152_zpid"
30607606,40.693445,-73.9443,1910,NA,NA,2013-07-03,185000,1900,"Triplex",2015,817000,3192,11206,NA,NA
32053129,40.74243,-73.787065,1945,2,3,2014-10-09,725000,4000,"SingleFamily",2015,715000,1502,11365,NA,NA
32099694,40.738204,-73.715885,1950,2.5,4,2014-06-02,535000,4000,"SingleFamily",2015,575000,1376,11426,NA,NA
72535566,40.822799,-73.942955,2003,2,3,2013-12-04,505000,NA,"Cooperative",NA,NA,NA,10039,NA,NA
32318927,40.612047,-74.066437,1989,NA,NA,2015-10-19,200000,1400,"SingleFamily",2015,330000,1480,10305,NA,NA
2099199404,40.8236,-73.9416,NA,1,1,2016-03-03,525000,NA,"Condominium",NA,NA,670,10039,NA,NA
30722081,40.60594,-73.97063,1925,1.5,3,2014-09-23,810000,2307,"SingleFamily",2015,850000,1120,11223,NA,NA
2104291775,40.5792,-73.9439,1925,4,5,NA,NA,NA,"SingleFamily",NA,NA,NA,11235,"$1,650,000","http://www.zillow.com/homes/for_sale/2104291775_zpid"
31986504,40.722035,-73.906755,1920,2,3,2015-12-10,670000,2500,"Duplex",2015,570000,1490,11378,NA,NA
120226942,40.748275,-73.991394,2008,NA,NA,2013-12-10,650000,2469,"Condominium",2014,124324,643,10001,NA,NA
82804429,40.779838,-73.985313,1924,2,2,2008-09-17,1080000,NA,"Cooperative",NA,NA,NA,10023,"$1,495,000","http://www.zillow.com/homes/for_sale/82804429_zpid"
30602170,40.693195,-73.933465,1899,NA,1,2014-08-11,662500,1875,"MultiFamily2To4",2015,537000,700,11221,NA,NA
32034122,40.77211,-73.811309,1950,2,3,2014-12-17,723000,4000,"SingleFamily",2015,684000,1925,11354,NA,NA
63054659,40.701243,-73.95237,NA,NA,NA,2013-10-30,145000,NA,"Condominium",2015,269436,1677,11206,NA,NA
30706149,40.614615,-73.998975,1930,3,5,2016-03-11,850000,1800,"SingleFamily",2015,784000,2028,11214,NA,NA
72511245,40.713914,-73.979613,1960,1,1,2014-06-10,467500,NA,"Cooperative",NA,NA,NA,10002,NA,NA
89335272,40.777169,-73.988911,NA,2,2,2013-08-15,875000,NA,"Condominium",2014,412541,1300,10069,NA,NA
55502371,40.752563,-73.967819,2001,2,2,2016-01-13,2565000,NA,"Condominium",2015,331882,1478,10017,NA,NA
31971537,40.75076,-73.86075,1925,2,4,2014-07-15,475000,3125,"SingleFamily",2015,389000,1305,11368,NA,NA
2108396062,40.8634,-73.8678,1968,1,2,NA,NA,NA,"Cooperative",NA,NA,900,10467,"$165,000","http://www.zillow.com/homes/for_sale/2108396062_zpid"
32115811,40.69539,-73.84339,1910,NA,NA,2004-07-03,189649,784080,"SingleFamily",2007,371000,1100,11418,"$59,000","http://www.zillow.com/homes/for_sale/32115811_zpid"
32369428,40.534095,-74.200805,1950,NA,NA,2015-03-26,213850,10000,"SingleFamily",2015,544000,1008,10309,NA,NA
29833568,40.886619,-73.84805,1955,NA,0,2014-04-11,370000,2482,"MultiFamily2To4",2015,442000,2550,10466,NA,NA
72510490,40.704998,-74.009621,NA,NA,NA,2014-03-03,760000,NA,"Cooperative",NA,NA,NA,10004,NA,NA
31987507,40.713565,-73.904085,1930,NA,NA,2013-12-24,538500,1605,"Triplex",2015,562000,2108,11378,NA,NA
90240634,40.695801,-73.996948,1949,1,0,2013-12-16,415000,NA,"MultiFamily2To4",NA,NA,NA,11201,NA,NA
63874150,40.808734,-73.951057,NA,1,1,2014-01-09,935000,NA,"Condominium",2014,223594,1522,10027,NA,NA
32091681,40.73009,-73.730404,1940,2,3,2014-01-08,563000,4300,"SingleFamily",2015,556000,1774,11426,NA,NA
30579410,40.639844,-74.01417,1899,3,5,2015-11-09,1095000,2003,"MultiFamily2To4",2015,879000,2820,11220,NA,NA
