,zillow_id,homo_info,year_updated,basement,roof,view,heating_sources,heating_system,rooms,neighborhood,school_district
0,15150813,http://www.zillow.com/homedetails/615-Missouri-St-San-Francisco-CA-94107/15150813_zpid/,,,,,,Forced air,"Family room, Dining room",,
1,15116833,http://www.zillow.com/homedetails/2151-46th-Ave-San-Francisco-CA-94116/15116833_zpid/,,,,,,,,,
2,15118589,http://www.zillow.com/homedetails/2258-45th-Ave-San-Francisco-CA-94116/15118589_zpid/,,,,,,,,,
3,15122791,http://www.zillow.com/homedetails/2466-17th-Ave-San-Francisco-CA-94116/15122791_zpid/,,,,,,Forced air,"Dining room, Walk-in closet, Office",,
4,15133303,http://www.zillow.com/homedetails/584-Dewey-Blvd-San-Francisco-CA-94116/15133303_zpid/,,,Composition,,Electric,,"Dining room, Sun room",,
5,15135423,http://www.zillow.com/homedetails/25-Miraloma-Dr-San-Francisco-CA-94127/15135423_zpid/,,,,,,,,,
6,15136217,http://www.zillow.com/homedetails/680-Teresita-Blvd-San-Francisco-CA-94127/15136217_zpid/,,Unfinished,,City,Gas,,,,
7,15139620,http://www.zillow.com/homedetails/339-Phelan-Ave-San-Francisco-CA-94112/15139620_zpid/,,,,,,,,,
8,15153397,http://www.zillow.com/homedetails/2-Bass-Ct-San-Francisco-CA-94124/15153397_zpid/,,,,,,,,,
9,15153741,http://www.zillow.com/homedetails/1371-Palou-Ave-San-Francisco-CA-94124/15153741_zpid/,,,,,,Forced air,Breakfast nook,,
10,15153873,http://www.zillow.com/homedetails/1190-Revere-Ave-San-Francisco-CA-94124/15153873_zpid/,,,Other,,,,,,
11,15154291,http://www.zillow.com/homedetails/1555-Yosemite-Ave-STE-57B-San-Francisco-CA-94124/15154291_zpid/,,,,,,,,,
12,15154292,http://www.zillow.com/homedetails/1555-Yosemite-Ave-STE-1B-San-Francisco-CA-94124/15154292_zpid/,,,,,,,,,
13,15154293,http://www.zillow.com/homedetails/1555-Yosemite-Ave-STE-1C-San-Francisco-CA-94124/15154293_zpid/,,,,,,,,,
14,15154646,http://www.zillow.com/homedetails/1079-Gilman-Ave-San-Francisco-CA-94124/15154646_zpid/,,,,,,,,California,
15,15155081,http://www.zillow.com/homedetails/1038-Le-Conte-Ave-San-Francisco-CA-94124/15155081_zpid/,2014,Finished,Shake / Shingle,"City, Mountain",Gas,Forced air,"Dining room, Family room, Master bath, Office, Pantry, Recreation room",Bayview Heights,
16,15155933,http://www.zillow.com/homedetails/1022-Newhall-St-San-Francisco-CA-94124/15155933_zpid/,,,,,,,,,
17,15156364,http://www.zillow.com/homedetails/1881-Oakdale-Ave-San-Francisco-CA-94124/15156364_zpid/,,,,,,,,,
18,15159718,http://www.zillow.com/homedetails/525-Precita-Ave-San-Francisco-CA-94110/15159718_zpid/,,Finished,Composition,"City, Mountain",Gas,Forced air,"Dining room, Laundry room, Office",,
19,15160879,http://www.zillow.com/homedetails/40-Costa-St-San-Francisco-CA-94110/15160879_zpid/,,,,,,,,,
20,15163497,http://www.zillow.com/homedetails/3651-Mission-St-San-Francisco-CA-94110/15163497_zpid/,,None,Asphalt,None,Gas,Forced air,,,
21,15163972,http://www.zillow.com/homedetails/541-Prentiss-St-San-Francisco-CA-94110/15163972_zpid/,,,,Water,,,,,
22,15165105,http://www.zillow.com/homedetails/32-Gaven-St-San-Francisco-CA-94134/15165105_zpid/,,,,,,,,,
23,15184539,http://www.zillow.com/homedetails/31-Elk-St-San-Francisco-CA-94131/15184539_zpid/,,,,,,Forced air,Dining room,,
24,15187884,http://www.zillow.com/homedetails/214-Ashton-Ave-San-Francisco-CA-94112/15187884_zpid/,,,,,,,,,
25,15189117,http://www.zillow.com/homedetails/135-Brighton-Ave-San-Francisco-CA-94112/15189117_zpid/,,,,,,,,,
26,15189182,http://www.zillow.com/homedetails/142-Granada-Ave-San-Francisco-CA-94112/15189182_zpid/,,,,,,,,,
27,15191063,http://www.zillow.com/homedetails/100-Shawnee-Ave-San-Francisco-CA-94112/15191063_zpid/,,,,,,,,,
28,15191866,http://www.zillow.com/homedetails/2572-Alemany-Blvd-San-Francisco-CA-94112/15191866_zpid/,,Partially finished,,City,,,"Breakfast nook, Dining room, Laundry room, Master bath, Solarium / Atrium",,
29,15196207,http://www.zillow.com/homedetails/154-Shakespeare-St-San-Francisco-CA-94112/15196207_zpid/,,,,,,,,,
30,15196832,http://www.zillow.com/homedetails/166-Eucalyptus-Dr-San-Francisco-CA-94132/15196832_zpid/,1995,,Shake / Shingle,,Gas,Baseboard,,,
31,67090314,http://www.zillow.com/homedetails/8200-Oceanview-Ter-APT-301-San-Francisco-CA-94132/67090314_zpid/,,,,,,Forced air,"Walk-in closet, Master bath",,
32,69820123,http://www.zillow.com/homedetails/1500-Innes-Ave-San-Francisco-CA-94124/69820123_zpid/,,,,,,,,,
33,15173604,http://www.zillow.com/homedetails/439-Campbell-Ave-San-Francisco-CA-94134/15173604_zpid/,,,Other,,,Forced air,,,
