,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
0,2100498792,37.762683,-122.414222,,,,,,,SingleFamily,,,99,94110
1,15105564,37.761298,-122.476615,1908,1.0,,08/02/2000,252000,2613,SingleFamily,2015,315941.0,1812,94122
2,79844725,37.792255,-122.401245,1909,2.0,2,10/19/2006,277000,,Condominium,2015,308370.0,964,94104
3,15142101,37.727793,-122.462995,1953,2.0,,,,3484,SingleFamily,2015,91069.0,1902,94127
4,2099276060,37.789321,-122.413482,,,,,,,SingleFamily,,,,94109
5,2100211489,37.715684,-122.47197,,,,,,3192,VacantResidentialLand,,,,94132
6,15150813,37.75855,-122.395872,1925,2.0,3,03/05/2015,15600,1873,SingleFamily,2015,851746.0,1990,94107
7,15116833,37.746388,-122.505277,1940,1.5,2,01/06/2016,158500,2996,SingleFamily,2015,691611.0,1100,94116
8,15118316,37.747366,-122.466993,1956,1.0,2,05/20/2014,125000,2909,SingleFamily,2015,661695.0,887,94116
9,15118589,37.744465,-122.503406,1946,2.0,3,07/24/2013,197500,2996,SingleFamily,2015,653180.0,1200,94116
10,15118885,37.745316,-122.496599,1945,3.0,6,06/23/2015,11000,3000,SingleFamily,2015,1101813.0,2412,94116
11,15119371,37.744965,-122.485828,1930,1.0,2,05/29/2015,190000,3000,SingleFamily,2015,464974.0,1370,94116
12,15120326,37.743711,-122.474994,1928,2.0,,08/29/2013,200000,2996,Duplex,2015,587012.0,3200,94116
13,15120766,37.743076,-122.489336,1951,2.0,4,12/02/2013,138000,3000,SingleFamily,2015,745637.0,1616,94116
14,15120996,37.743587,-122.496478,1943,4.0,3,04/09/2015,17500,2996,SingleFamily,2015,767146.0,2156,94116
15,15122791,37.741917,-122.473138,1930,2.5,4,11/01/2015,5700,3000,SingleFamily,2015,1000500.0,2400,94116
16,15123195,37.740809,-122.475168,1928,1.0,,03/09/2015,195000,2548,SingleFamily,2015,84504.0,2410,94116
17,15123303,37.740382,-122.479057,1924,1.0,,06/16/2014,101500,3600,SingleFamily,2015,504197.0,1500,94116
18,15124022,37.738624,-122.496024,1943,1.0,2,05/31/2013,185000,1438,SingleFamily,2015,477115.0,800,94116
19,15125066,37.738282,-122.48771,1936,2.0,3,05/31/2013,166000,2614,SingleFamily,2015,570488.0,1842,94116
20,15133303,37.744232,-122.463546,1923,2.25,3,12/24/2015,184000,3833,SingleFamily,2015,1189293.0,2282,94116
21,15134564,37.740284,-122.448143,1939,1.0,,06/17/2013,75000,2509,SingleFamily,2015,979945.0,1490,94127
22,15134676,37.7426,-122.455139,1927,1.0,,01/13/2014,200000,3563,SingleFamily,2015,57364.0,1400,94127
23,15135394,37.741809,-122.464542,1926,1.0,,12/30/2013,10000,3184,SingleFamily,2015,317887.0,1325,94127
24,15135423,37.739884,-122.45993,1926,2.0,3,06/09/2015,5450,4273,SingleFamily,2015,1448371.0,1570,94127
25,15135972,37.737618,-122.449951,1947,1.0,2,08/25/2014,200000,2556,SingleFamily,2015,974450.0,1067,94127
26,15136217,37.735994,-122.446595,1940,1.0,2,03/27/2015,8000,2953,SingleFamily,2015,893047.0,1050,94127
27,15136683,37.740494,-122.451814,1950,2.0,3,05/17/2013,142000,4199,SingleFamily,2015,360480.0,1150,94127
28,15137291,37.733868,-122.46283,1900,2.5,4,03/18/2015,10000,4199,SingleFamily,2015,461900.0,3121,94127
29,15137354,37.733582,-122.46077,1941,3.0,3,03/16/2015,16000,4534,SingleFamily,2015,1216059.0,2679,94127
30,15138053,37.737575,-122.466985,1916,1.0,2,10/04/2013,90000,4499,SingleFamily,2015,734879.0,1622,94127
31,15139620,37.729724,-122.452689,1923,1.0,2,09/17/2015,178500,2879,SingleFamily,2015,370350.0,1047,94112
32,15141415,37.724502,-122.442699,1925,1.0,,06/10/2014,75000,2495,SingleFamily,2015,338723.0,1230,94112
33,15141907,37.729676,-122.462614,1959,2.0,,12/03/2013,160000,4835,SingleFamily,2015,812538.0,2153,94127
34,15153397,37.733488,-122.385049,1987,2.5,3,07/19/2013,190000,2557,SingleFamily,2015,392691.0,1511,94124
35,15153741,37.731344,-122.386797,1900,1.0,2,11/16/2015,3000,2495,SingleFamily,2015,24718.0,1000,94124
36,15153806,37.729274,-122.385409,1917,1.0,,05/29/2015,107000,2500,SingleFamily,2015,343678.0,1214,94124
