"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","home_type","tax_year","tax_value","home_size","zipcode","list","url","property_size","log_last_sold_price","log_tax_value","log_home_size","log_property_size","location_cluster"
31947397,40.78021,-73.913559,1935,1,1,2013-05-10,765000,"MultiFamily2To4",2015,828000,1728,11105,NA,NA,1800,13.5476311128087,13.6267684333674,7.454719949364,7.49554194388426,"9"
32010727,40.7054,-73.898465,1930,3,17,2016-03-09,950000,"MultiFamily2To4",2015,625000,1200,11385,NA,NA,1485,13.7642172635767,13.3455069287185,7.09007683577609,7.3031700512368,"1"
32058026,40.77312,-73.780605,1950,2.5,3,2016-01-27,785000,"SingleFamily",2015,765000,1025,11360,NA,NA,4000,13.5734389967645,13.5476311128087,6.93244789157251,8.29404964010203,"5"
62648132,40.69928,-73.922695,2002,5,9,2014-01-06,700000,"MultiFamily2To4",2015,666000,3300,11237,NA,NA,1498,13.4588356140255,13.4090449495225,8.10167774745457,7.31188616407716,"14"
31941608,40.76537,-73.911239,1880,2,5,2013-06-06,775000,"MultiFamily2To4",2015,713000,1672,11103,NA,NA,2425,13.5606183083355,13.4772366993964,7.42177579364465,7.79358680337158,"9"
32276552,40.629795,-74.118995,1920,2.5,3,2015-12-09,330000,"SingleFamily",2015,362000,2800,10310,NA,NA,3700,12.7068479334427,12.7993994908079,7.9373746961633,8.21608809863232,"13"
32106294,40.69396,-73.856145,1930,2,3,2015-04-10,430000,"SingleFamily",2015,365000,1156,11421,NA,NA,1999,12.9715404876697,12.8076526325646,7.05272104923232,7.6004023345004,"4"
112086857,40.798023,-73.934806,2007,1,1,2011-04-26,496860,"Condominium",2014,120187,983,10035,NA,NA,2500,13.1160635752558,11.6968041421561,6.89060912014717,7.82404601085629,"11"
32139000,40.69655,-73.78752,1925,1,3,2009-12-03,222600,"SingleFamily",2015,312000,1014,11433,"$430,000","http://www.zillow.com/homes/for_sale/32139000_zpid",2500,12.3131317178236,12.6507584667916,6.92165818415113,7.82404601085629,"6"
31499114,40.73034,-74.00595,1901,5,4,2014-08-05,11450000,"Townhouse",2014,8668000,4368,10014,NA,NA,2100,16.2535002879645,15.9751486416384,8.38206051742474,7.64969262371151,"8"
32114334,40.67713,-73.852615,1925,1,3,2016-01-27,475000,"SingleFamily",2015,363000,1230,11417,NA,NA,1825,13.0710700830168,12.802158113247,7.11476944836646,7.50933526601659,"4"
65317231,40.765132,-73.982383,2002,2,2,2008-09-19,2865000,"Condominium",2014,352059,1412,10019,"$3,300,000","http://www.zillow.com/homes/for_sale/65317231_zpid",NA,14.868078908131,12.771554054171,7.25276241805319,NA,"2"
89071900,40.742657,-73.95776,2007,1,1,2011-06-01,450000,"Condominium",2015,80131,696,11101,"$885,000","http://www.zillow.com/homes/for_sale/89071900_zpid",NA,13.0170028617465,11.2914180744147,6.54534966033442,NA,"9"
31501530,40.73389,-74.00811,1985,1,0,2015-08-25,980000,"MultiFamily2To4",2014,203034,575,10014,NA,NA,NA,13.7953078506468,12.2211287316842,6.35437004079735,NA,"8"
32000300,40.725145,-73.86285,1936,2,3,2016-02-22,768100,"SingleFamily",2015,782000,1700,11374,NA,NA,2354,13.5516752119868,13.5696100195274,7.43838353004431,7.76387128782022,"1"
32036574,40.769075,-73.79274,1953,2,3,2015-05-04,520000,"SingleFamily",2015,492000,1024,11358,NA,NA,1694,13.1615840905576,13.1062339954744,6.93147180559945,7.434847875212,"5"
80013172,40.760581,-73.972908,2003,3.5,3,2007-12-26,5243987,"Condominium",2014,878287,2302,10022,"$7,700,000","http://www.zillow.com/homes/for_sale/80013172_zpid",NA,15.472592644839,13.6857286984749,7.74153358928183,NA,"2"
32302055,40.62177,-74.145355,1945,2,3,2013-08-07,405000,"SingleFamily",2015,356000,1230,10302,NA,NA,3200,12.9116423460887,12.7826860098342,7.11476944836646,8.07090608878782,"13"
30680276,40.62401,-73.991075,1935,2,4,2014-05-28,820000,"SingleFamily",2013,285000,2040,11204,NA,NA,3100,13.6170596192404,12.5602444592508,7.62070508683826,8.03915739047324,"7"
31521980,40.777465,-73.985702,1961,1,2,2013-06-06,1495000,"Cooperative",2014,67777000,493268,10023,NA,NA,79296,14.2176367648069,18.0317334623197,13.1088079158698,11.2809429649888,"2"
32053129,40.74243,-73.787065,1945,2,3,2014-10-09,725000,"SingleFamily",2015,715000,1502,11365,NA,NA,4000,13.4939269338368,13.4800378216761,7.31455283232408,8.29404964010203,"5"
32099694,40.738204,-73.715885,1950,2.5,4,2014-06-02,535000,"SingleFamily",2015,575000,1376,11426,NA,NA,4000,13.1900220258781,13.2621253197795,7.22693601849329,8.29404964010203,"12"
30722081,40.60594,-73.97063,1925,1.5,3,2014-09-23,810000,"SingleFamily",2015,850000,1120,11223,NA,NA,2307,13.6047895266486,13.6529916284665,7.02108396428914,7.74370325817375,"7"
31986504,40.722035,-73.906755,1920,2,3,2015-12-10,670000,"Duplex",2015,570000,1490,11378,NA,NA,2500,13.4150329913671,13.2533916398107,7.30653139893951,7.82404601085629,"1"
32034122,40.77211,-73.811309,1950,2,3,2014-12-17,723000,"SingleFamily",2015,684000,1925,11354,NA,NA,4000,13.4911645011409,13.4357131966047,7.56268124672188,8.29404964010203,"5"
30706149,40.614615,-73.998975,1930,3,5,2016-03-11,850000,"SingleFamily",2015,784000,2028,11214,NA,NA,1800,13.6529916284665,13.5721642993325,7.61480536471107,7.49554194388426,"7"
55502371,40.752563,-73.967819,2001,2,2,2016-01-13,2565000,"Condominium",2015,331882,1478,10017,NA,NA,NA,14.757469036587,12.7125347630346,7.29844510150815,NA,"2"
31971537,40.75076,-73.86075,1925,2,4,2014-07-15,475000,"SingleFamily",2015,389000,1305,11368,NA,NA,3125,13.0710700830168,12.8713346226006,7.17395831975679,8.0471895621705,"1"
32091681,40.73009,-73.730404,1940,2,3,2014-01-08,563000,"SingleFamily",2015,556000,1774,11426,NA,NA,4300,13.2410349071218,13.2285235732327,7.48099216286952,8.36637030168165,"12"
30579410,40.639844,-74.01417,1899,3,5,2015-11-09,1095000,"MultiFamily2To4",2015,879000,2820,11220,NA,NA,2003,13.9062649212327,13.6865401766673,7.94449216393216,7.60240133566582,"7"
32189833,40.68595,-73.775845,1930,3,5,2014-06-05,400000,"SingleFamily",2015,296000,1608,11434,NA,NA,3131,12.8992198260901,12.5981147333062,7.38274644973891,8.04910772132641,"6"
31968710,40.76484,-73.86408,1930,3,6,2014-01-13,725000,"MultiFamily2To4",2015,685000,1980,11369,NA,NA,3001,13.4939269338368,13.4371741172444,7.59085212368858,8.00670084544037,"1"
32299397,40.63248,-74.15484,1925,2,5,2015-06-09,165000,"MultiFamily2To4",2015,309000,2020,10303,NA,NA,4035,12.0137007528827,12.6410965558799,7.61085279039525,8.30276158070405,"13"
32305077,40.617908,-74.165373,1981,3,4,2016-01-19,355000,"SingleFamily",2015,425000,2400,10314,NA,NA,2583,12.7798730684576,12.9598444479066,7.78322401633604,7.85670679309584,"13"
2098933132,40.7027,-73.991,2002,2,2,2008-05-30,825000,"Condominium",2015,98265,1010,11201,"$1,325,000","http://www.zillow.com/homes/for_sale/2098933132_zpid",NA,13.6231386653168,11.4954231898341,6.9177056098353,NA,"8"
32097280,40.7469,-73.730545,1950,2,3,2015-10-27,725000,"SingleFamily",2015,687000,1150,11362,NA,NA,3998,13.4939269338368,13.4400895712045,7.0475172213573,8.29354951506035,"12"
30707063,40.61946,-74.01021,1920,2,3,2008-08-15,565000,"SingleFamily",2015,633000,1300,11228,"$899,000","http://www.zillow.com/homes/for_sale/30707063_zpid",1500,13.2445810101286,13.3582257011263,7.17011954344963,7.3132203870903,"7"
31967620,40.746745,-73.867595,1974,6,8,2015-12-30,1230000,"MultiFamily2To4",2015,952000,3732,11368,NA,NA,2134,14.0225247273486,13.7663203137735,8.22469956196723,7.6657534318617,"1"
121710503,40.726512,-73.947738,2010,1.5,1,2015-07-28,500000,"Condominium",2015,93216,762,11222,NA,NA,NA,13.1223633774043,11.4426746597592,6.63594655568665,NA,"9"
29834745,40.888675,-73.844245,1965,1,3,2015-06-09,440000,"SingleFamily",2015,422000,1995,10466,NA,NA,2714,12.9945300058944,12.9527605930181,7.59839932932396,7.90617884039481,"3"
32140514,40.70142,-73.785575,1996,2,6,2016-03-02,540000,"MultiFamily2To4",2015,396000,2100,11433,NA,NA,2931,13.1993244185405,12.8891694902366,7.64969262371151,7.98309894071089,"6"
32144740,40.715095,-73.762,1925,3,3,2015-08-26,405000,"SingleFamily",2015,454000,1152,11423,NA,NA,3125,12.9116423460887,13.0258524770235,7.04925484125584,8.0471895621705,"6"
89067820,40.742973,-73.957977,1890,1,1,2014-05-08,835000,"Condominium",2015,59738,1013,11101,NA,NA,27825,13.635187003833,10.9977236128033,6.92067150424868,10.2336901761437,"9"
30665016,40.65864,-73.959355,1901,4.5,6,2014-02-04,1850000,"MultiFamily2To4",2015,1661000,3400,11225,NA,NA,4000,14.4306961970545,14.3229303885954,8.13153071060425,8.29404964010203,"14"
30651345,40.659115,-73.926075,1935,3,5,2014-06-09,540000,"MultiFamily2To4",2015,521000,3360,11212,NA,NA,2475,13.1993244185405,13.1635053207355,8.11969625295725,7.81399567500279,"14"
32047008,40.75725,-73.805995,1930,2,3,2014-07-16,729000,"SingleFamily",2015,835000,1000,11358,NA,NA,2600,13.4994290109908,13.635187003833,6.90775527898214,7.86326672400957,"5"
30771023,40.630374,-73.906209,1988,2,2,2006-03-27,330000,"Condominium",2015,301877,931,11236,"$299,999","http://www.zillow.com/homes/for_sale/30771023_zpid",127378,12.7068479334427,12.6177749286258,6.83625927727707,11.7549143227501,"15"
29834749,40.888385,-73.844075,1940,2,3,2015-12-14,389000,"SingleFamily",2015,297000,1584,10466,NA,NA,2003,12.8713346226006,12.6014874177848,7.36770857237437,7.60240133566582,"3"
80006930,40.810672,-73.940093,2004,2.5,3,2014-04-28,952525,"Condominium",2014,199789,1569,10037,NA,NA,NA,13.7668716323577,12.205017088626,7.35819375273303,NA,"11"
30699919,40.62337,-74.03508,1920,1.5,4,2015-02-02,849000,"SingleFamily",2015,968000,1920,11209,NA,NA,2100,13.6518144652935,13.7829873662587,7.56008046502183,7.64969262371151,"7"
32289294,40.612195,-74.123125,1925,3,3,2014-10-06,465000,"SingleFamily",2015,449000,1800,10314,NA,NA,3264,13.0497926845695,13.0147781667244,7.49554194388426,8.090708716084,"13"
32152411,40.723315,-73.730715,1930,4.5,4,2013-07-23,405000,"SingleFamily",2015,426000,3000,11428,NA,NA,3005,12.9116423460887,12.9621946252515,8.00636756765025,8.00803284696931,"12"
32101216,40.7284,-73.722655,1930,2,3,2015-11-02,480000,"SingleFamily",2015,463000,2000,11426,NA,NA,3058,13.0815413828841,13.0454823330684,7.60090245954208,8.02551638648901,"12"
83942738,40.760454,-73.993515,2007,1,1,2013-10-30,700000,"MultiFamily2To4",2014,189716,641,10036,NA,NA,10300,13.4588356140255,12.153283496067,6.46302945692067,9.23989917421773,"2"
89067598,40.743467,-73.951163,2007,1,1,2010-03-05,423216,"Condominium",2015,97021,817,11101,"$900,000","http://www.zillow.com/homes/for_sale/89067598_zpid",NA,12.9556379659949,11.4826827288993,6.70563909486,NA,"9"
32376059,40.505885,-74.243265,1910,2,3,2013-11-27,399000,"SingleFamily",2015,407000,1112,10307,NA,NA,2500,12.896716695872,12.9165684644247,7.01391547481053,7.82404601085629,"13"
31172280,40.7279,-73.690311,1927,2,3,2014-09-26,459000,"MultiFamily2To4",2015,366800,1412,11040,NA,NA,4000,13.0368054890427,12.8125720193644,7.25276241805319,8.29404964010203,"12"
30666303,40.64733,-73.965885,1901,3.5,5,2015-02-03,2000000,"Townhouse",2015,1188000,3025,11226,NA,NA,5500,14.5086577385242,13.9877817789047,8.01466637046494,8.61250337122056,"14"
31987607,40.720275,-73.903055,1925,2,4,2015-08-11,635000,"MultiFamily2To4",2015,605000,1728,11378,NA,NA,2150,13.3613802778748,13.312983737013,7.454719949364,7.67322312112171,"1"
32086415,40.753204,-73.755429,1965,2.5,3,2015-10-30,980000,"SingleFamily",2015,901000,2835,11364,NA,NA,3075,13.7953078506468,13.7112605365905,7.94979721616185,8.03106018024062,"12"
