,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
0,37.762683,-122.414222,,,,,,,99
1,37.761298,-122.476615,1908,1.0,,08/02/2000,252000,2613,1812
2,37.792255,-122.401245,1909,2.0,2,10/19/2006,277000,,964
3,37.727793,-122.462995,1953,2.0,,,,3484,1902
4,37.789321,-122.413482,,,,,,,
5,37.715684,-122.47197,,,,,,3192,
6,37.75855,-122.395872,1925,2.0,3,03/05/2015,15600,1873,1990
7,37.746388,-122.505277,1940,1.5,2,01/06/2016,158500,2996,1100
8,37.747366,-122.466993,1956,1.0,2,05/20/2014,125000,2909,887
9,37.744465,-122.503406,1946,2.0,3,07/24/2013,197500,2996,1200
10,37.745316,-122.496599,1945,3.0,6,06/23/2015,11000,3000,2412
11,37.744965,-122.485828,1930,1.0,2,05/29/2015,190000,3000,1370
12,37.743711,-122.474994,1928,2.0,,08/29/2013,200000,2996,3200
13,37.743076,-122.489336,1951,2.0,4,12/02/2013,138000,3000,1616
14,37.743587,-122.496478,1943,4.0,3,04/09/2015,17500,2996,2156
15,37.741917,-122.473138,1930,2.5,4,11/01/2015,5700,3000,2400
16,37.740809,-122.475168,1928,1.0,,03/09/2015,195000,2548,2410
17,37.740382,-122.479057,1924,1.0,,06/16/2014,101500,3600,1500
18,37.738624,-122.496024,1943,1.0,2,05/31/2013,185000,1438,800
19,37.738282,-122.48771,1936,2.0,3,05/31/2013,166000,2614,1842
20,37.744232,-122.463546,1923,2.25,3,12/24/2015,184000,3833,2282
21,37.740284,-122.448143,1939,1.0,,06/17/2013,75000,2509,1490
22,37.7426,-122.455139,1927,1.0,,01/13/2014,200000,3563,1400
23,37.741809,-122.464542,1926,1.0,,12/30/2013,10000,3184,1325
24,37.739884,-122.45993,1926,2.0,3,06/09/2015,5450,4273,1570
25,37.737618,-122.449951,1947,1.0,2,08/25/2014,200000,2556,1067
26,37.735994,-122.446595,1940,1.0,2,03/27/2015,8000,2953,1050
27,37.740494,-122.451814,1950,2.0,3,05/17/2013,142000,4199,1150
28,37.733868,-122.46283,1900,2.5,4,03/18/2015,10000,4199,3121
29,37.733582,-122.46077,1941,3.0,3,03/16/2015,16000,4534,2679
30,37.737575,-122.466985,1916,1.0,2,10/04/2013,90000,4499,1622
31,37.729724,-122.452689,1923,1.0,2,09/17/2015,178500,2879,1047
32,37.724502,-122.442699,1925,1.0,,06/10/2014,75000,2495,1230
33,37.729676,-122.462614,1959,2.0,,12/03/2013,160000,4835,2153
34,37.727652,-122.37372,1981,1.0,2,07/16/2013,130000,,996
35,37.728156,-122.373055,1981,3.0,3,05/13/2014,195000,,1360
36,37.733488,-122.385049,1987,2.5,3,07/19/2013,190000,2557,1511
37,37.731344,-122.386797,1900,1.0,2,11/16/2015,3000,2495,1000
38,37.729274,-122.385409,1917,1.0,,05/29/2015,107000,2500,1214
39,37.727454,-122.382401,1989,2.0,2,07/23/2013,182000,1742,1600
40,37.729749,-122.388872,1954,1.0,,03/19/2014,93000,1575,1025
41,37.727381,-122.386477,1990,2.0,3,09/17/2014,200000,2500,2048
42,37.726006,-122.391017,1987,1.0,,02/05/2015,105000,,334
43,37.726006,-122.391017,1987,1.0,,03/20/2014,88000,,334
44,37.726006,-122.391017,1987,1.0,,10/14/2014,88000,,334
45,37.720618,-122.39288,1910,2.0,,12/20/2013,157000,2500,1584
46,37.720458,-122.392598,1953,1.0,,03/17/2015,200000,2500,1100
47,37.718862,-122.389785,1939,1.0,2,10/21/2015,200000,2495,1500
48,37.719593,-122.39274,1940,1.0,,04/28/2014,190000,2495,1175
49,37.717975,-122.391479,1917,2.0,,12/31/2014,107000,1746,1950
50,37.716295,-122.389055,1955,2.0,,09/17/2013,36000,1873,1250
51,37.717685,-122.397605,1995,2.0,3,09/10/2013,80000,,1247
52,37.718866,-122.397092,1988,2.5,3,04/30/2013,43000,1912,1556
53,37.713645,-122.400564,1940,1.0,2,03/20/2015,187000,2325,1225
54,37.711238,-122.396543,1952,1.0,,12/30/2014,13500,2500,1139
55,37.738443,-122.386661,1927,2.0,,02/19/2014,6000,2940,1512
56,37.738021,-122.388572,1910,1.0,,06/30/2015,6000,5000,910
57,37.73804,-122.390308,1968,2.0,3,08/07/2013,172500,1746,1315
58,37.737371,-122.39574,1900,1.0,0,11/21/2013,97000,1642,1090
59,37.735707,-122.393424,1950,2.0,,12/30/2015,180000,2495,3073
60,37.736386,-122.398198,1956,1.0,,08/11/2015,150000,2034,1201
61,37.731077,-122.402644,1949,2.0,3,01/17/2014,183000,2495,1662
62,37.731461,-122.399098,1943,1.0,,07/14/2014,175000,1875,800
63,37.729859,-122.393765,1937,1.0,2,09/19/2013,129500,2495,1280
64,37.730201,-122.402046,1908,1.0,,12/17/2015,197000,2495,735
65,37.747617,-122.409986,1918,3.0,3,09/29/2015,14500,2562,2000
66,37.747248,-122.415747,1904,2.0,,04/24/2014,200000,2500,1600
67,37.74719,-122.415584,1906,2.0,,06/28/2013,26000,3044,2250
68,37.746006,-122.411804,1956,2.0,,05/21/2013,150000,2748,1375
69,37.743779,-122.407528,2002,3.0,3,08/14/2014,50000,1746,2176
70,37.744908,-122.406648,1946,1.0,3,08/18/2015,135000,2038,1230
71,37.741243,-122.411793,1927,1.0,2,04/24/2014,100500,1750,1000
72,37.738052,-122.423665,1926,3.0,3,05/09/2013,60000,2787,2230
73,37.738534,-122.423683,1921,1.0,2,09/04/2015,100000,2088,1415
74,37.736341,-122.421561,1912,2.0,4,07/01/2015,76000,2500,2782
75,37.73639,-122.412103,1953,2.0,3,02/12/2016,171000,1751,1200
76,37.734022,-122.407085,1906,1.0,2,01/23/2014,63000,1306,700
77,37.732316,-122.411482,1960,1.0,2,10/28/2014,6000,2025,1050
78,37.736775,-122.439459,1938,2.0,3,10/23/2015,5600,2500,1320
79,37.736335,-122.437604,1931,2.0,,05/06/2014,56100,2665,1935
80,37.735889,-122.434112,1900,1.0,,12/14/2015,142000,2012,1022
81,37.734906,-122.433475,1945,2.0,,10/29/2015,165000,2308,2024
82,37.73214,-122.438472,1907,1.0,,10/20/2014,52500,2495,1300
83,37.730308,-122.430598,1928,2.0,4,12/27/2013,68000,2360,1817
84,37.725917,-122.468186,1925,1.0,,08/14/2014,134500,6011,1495
85,37.722231,-122.458498,1900,2.0,,02/03/2016,16000,2857,1750
86,37.722152,-122.46197,1922,1.0,2,01/29/2015,200000,2495,1100
87,37.719763,-122.444316,1927,2.0,3,09/03/2013,200000,2200,1550
