,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
0,15111313,37.754968,-122.475782,1928,2.0,4,03/25/2015,1100000,2375,2352
1,15111509,37.755037,-122.470859,1951,1.0,,06/24/2015,1101000,3171,1185
2,15111813,37.754009,-122.465942,1962,4.0,,08/21/2015,1100000,2996,2820
3,15111962,37.753955,-122.469449,1938,1.5,3,05/15/2013,1100000,3789,1844
4,15112868,37.752332,-122.489978,1941,2.0,3,01/21/2015,1100000,2996,1250
5,15112892,37.752439,-122.490647,1941,2.0,2,12/02/2015,1099000,3049,1150
6,15112923,37.753176,-122.491116,1941,3.0,5,04/10/2015,1100000,3000,1952
7,15112923,37.753176,-122.491116,1941,3.0,5,04/10/2015,1100000,3000,1952
8,15112966,37.752845,-122.49217,1941,1.0,2,05/13/2015,1090000,2962,1350
9,15115027,37.750881,-122.46986,1947,2.0,3,03/20/2014,1118000,1528,1500
10,15126976,37.767825,-122.436775,1995,1.0,2,04/14/2014,1100000,2317,1190
11,15127364,37.763944,-122.440616,1910,1.0,2,06/28/2013,1110000,2944,1000
12,15127698,37.762885,-122.44218,1964,2.0,3,05/22/2015,1100000,,1458
13,15128369,37.761422,-122.444366,1890,2.0,,05/29/2014,1100000,1742,1700
14,15128751,37.756556,-122.45727,1961,1.0,2,02/19/2016,1100000,3092,1065
15,15128767,37.754359,-122.458365,1961,3.0,,08/09/2013,1100000,4543,1787
16,15129027,37.756664,-122.460717,1963,3.0,3,04/01/2014,1100000,4421,1245
17,15129325,37.757941,-122.435088,1900,1.0,2,12/16/2014,1110000,3436,1336
18,15130280,37.756577,-122.439339,1954,1.0,2,07/01/2013,1100000,1667,1442
19,15130367,37.756601,-122.437118,1894,2.0,4,04/15/2014,1095000,3123,2384
20,15131141,37.754633,-122.449482,1958,2.0,3,06/06/2014,1100000,3632,1600
21,15131143,37.754856,-122.449403,1958,1.0,3,05/08/2015,1100000,5301,1100
22,15131658,37.752252,-122.435612,1900,1.0,2,09/12/2014,1106000,,811
23,15131806,37.75196,-122.443255,1978,2.0,,05/05/2015,1100000,,1279
24,15131807,37.751977,-122.443247,1978,1.0,,05/05/2015,1100000,,956
25,15142408,37.770811,-122.423442,1907,2.0,6,03/04/2014,1100000,1646,1780
26,15142601,37.77251,-122.411677,1925,2.5,3,10/25/2013,1105000,2482,1395
27,15143553,37.765062,-122.429077,1981,1.5,2,10/27/2015,1105000,,1200
28,15143559,37.76537,-122.429115,1995,2.0,2,12/15/2014,1100000,,1073
29,15143688,37.763968,-122.43406,1907,1.0,3,06/03/2015,1107500,1820,1296
30,15143820,37.763095,-122.428165,1993,2.0,2,02/19/2015,1090000,,1170
31,15143843,37.763345,-122.425388,1994,2.0,2,11/04/2013,1101000,3013,1248
32,15144136,37.762725,-122.427474,1900,2.0,5,11/03/2013,1100905,2500,2794
33,15144239,37.76165,-122.43006,1992,2.0,2,03/04/2015,1100000,,923
34,15144494,37.760081,-122.431021,1900,2.0,2,06/18/2013,1100000,2500,1029
35,15144588,37.760955,-122.43016,1880,2.5,3,07/31/2015,1100000,2495,2020
36,15144880,37.75941,-122.420112,1910,2.0,4,03/04/2014,1118100,1875,2140
37,15145012,37.759635,-122.4251,1908,1.0,3,05/17/2013,1105000,,1323
38,15145224,37.759078,-122.433517,1900,1.0,1,03/06/2016,1100000,1188,1044
39,15145233,37.757312,-122.432623,1903,1.0,2,12/18/2013,1120000,1208,1208
40,15147265,37.752405,-122.43223,1901,1.0,2,02/19/2015,1090000,,997
41,15147998,37.774362,-122.410034,1909,,0,01/24/2014,1100000,1873,3750
42,15148046,37.783699,-122.39359,1907,1.0,1,10/05/2015,1100000,,1073
43,15148436,37.787466,-122.38898,1994,2.0,2,10/17/2014,1100000,,1169
44,15148558,37.788008,-122.389643,1997,2.0,2,06/12/2015,1115000,,1088
45,15148568,37.788008,-122.389643,1997,2.0,2,09/10/2014,1100000,,1196
46,15148683,37.784353,-122.391236,1892,1.0,1,05/30/2014,1120000,8334,1270
47,15148719,37.784512,-122.391427,1998,2.0,2,07/30/2014,1100000,,1251
48,15148792,37.76783,-122.40432,1983,1.0,1,03/03/2005,1150000,,3344
49,15148805,37.765924,-122.39654,1997,2.5,3,10/17/2013,1099000,,1999
50,15149328,37.761812,-122.402603,1907,3.0,2,12/18/2013,1100000,,1200
51,15149362,37.76181,-122.398865,1995,2.0,3,06/24/2015,1100000,,1349
52,15149378,37.76181,-122.398865,1995,2.0,2,06/26/2015,1100000,,1031
53,15149847,37.760459,-122.399735,1978,2.0,,11/13/2013,1100000,,1500
54,15150227,37.758951,-122.409401,1907,1.0,3,02/28/2014,1100000,2495,1212
55,15150768,37.75779,-122.396345,1984,3.0,3,01/15/2015,1100000,,1468
56,59700275,37.781583,-122.471515,1920,2.0,3,08/09/2013,1111000,,1425
57,59700287,37.777387,-122.478834,1923,1.0,2,08/27/2015,1115000,,1153
58,59779394,37.774503,-122.448061,1920,1.0,2,05/29/2014,1105000,,1184
59,59779395,37.774503,-122.448058,1920,1.0,2,03/20/2014,1103000,,1335
60,61325268,37.766367,-122.434217,1900,1.0,2,06/16/2015,1100000,,1217
61,63107143,37.799615,-122.420463,1925,1.5,1,04/07/2014,1100000,,1297
62,15068216,37.79286,-122.40895,1978,2.5,2,08/06/2013,1100000,1786,1808
63,63196927,37.771558,-122.447425,1947,2.0,2,10/15/2014,1100000,1641,1188
64,63197013,37.76393,-122.46387,2003,2.0,2,07/31/2008,785000,,1010
65,63197128,37.76829,-122.425855,1928,1.5,3,05/07/2013,1095000,,1607
66,63197150,37.767125,-122.421782,2003,2.0,1,06/17/2014,1100000,,1347
67,63197158,37.76562,-122.4184,1990,2.0,2,04/08/2014,1105000,1875,1150
68,63197223,37.762411,-122.433457,1910,1.0,2,03/28/2014,1095000,,1156
69,63197268,37.754998,-122.421939,1880,1.0,3,08/28/2013,1100100,2850,1486
70,63197592,37.758878,-122.411147,1890,2.0,1,12/07/2015,1100000,,1267
71,64657094,37.799042,-122.433759,1924,1.0,2,10/23/2013,1100000,,1279
72,64897766,37.780127,-122.470332,1908,3.0,3,03/13/2015,1100000,3001,1702
73,64969778,37.794081,-122.410283,1964,2.0,2,12/30/2014,1100000,,1219
74,64969984,37.757809,-122.403361,2004,2.5,3,06/23/2014,1107000,1593,1756
75,64970253,37.759677,-122.389103,2003,2.5,2,03/18/2014,1100000,,1658
76,64971510,37.755103,-122.435887,1947,1.0,1,03/14/2014,1100000,625,1004
77,64971853,37.799041,-122.433757,1924,1.0,2,10/23/2013,1100000,,1113
78,64972527,37.788555,-122.395901,2004,2.0,2,02/03/2014,1120000,,958
79,64972532,37.787029,-122.3936,2004,2.0,2,01/08/2014,1100000,435,950
80,79841979,37.779423,-122.39669,2006,2.5,2,11/19/2014,1120000,,1064
81,79843349,37.773422,-122.43901,2007,2.0,2,03/18/2015,1100000,,1059
82,79844106,37.779422,-122.396712,,2.0,2,06/27/2014,1100000,,1113
83,79846078,37.779422,-122.396712,2006,2.0,1,08/21/2015,1105000,,1103
84,79846812,37.779422,-122.396712,2006,2.0,2,01/23/2015,1100000,,979
85,79847009,37.790184,-122.421348,2005,2.0,2,02/18/2015,1120000,,953
86,79847396,37.762084,-122.389007,2007,2.0,3,08/15/2014,1090000,,1467
87,79847567,37.798881,-122.435012,1914,1.0,2,03/05/2014,1100000,,1246
88,80623067,37.755009,-122.390599,2000,,,08/21/2015,1100000,,1587
89,80730989,37.763988,-122.389167,2002,2.0,2,01/22/2016,1100000,,1358
90,80733988,37.781323,-122.396231,2000,2.5,2,05/29/2015,1089000,,1297
91,80734645,37.775459,-122.402389,2001,2.5,2,07/02/2014,1111000,,1896
92,80734874,37.766197,-122.39656,1998,2.5,2,03/03/2015,1110000,,1760
93,80734962,37.78691,-122.390925,2001,2.0,2,04/08/2014,1100000,,1223
94,80740355,37.776125,-122.409677,2002,2.0,2,02/03/2015,1095000,16988,1133
95,80740767,37.755009,-122.390599,2000,2.0,2,06/09/2015,1100000,10000,1258
96,80742238,37.763988,-122.389167,2002,2.0,2,12/29/2015,1100000,,1354
97,80744136,37.778163,-122.395774,1916,1.5,1,09/23/2015,1090000,,1126
98,80745753,37.786606,-122.399099,2004,2.0,2,08/19/2014,1106000,,1148
99,80750954,37.777725,-122.400947,2001,2.5,2,08/23/2013,1100000,7562,2097
100,80755237,37.778163,-122.395774,1916,1.0,1,10/06/2014,1095000,,1229
101,80755502,37.756244,-122.477389,2001,3.5,3,10/30/2015,1111000,,2225
102,82785877,37.778705,-122.412635,2008,2.0,2,08/15/2013,1100000,,1184
103,82786344,37.77898,-122.391754,2007,2.0,2,05/11/2015,1090000,,927
