"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
2100498792,37.762683,-122.414222,NA,NA,NA,NA,NA,NA,"SingleFamily",NA,NA,99,94110,"$76,000","http://www.zillow.com/homes/for_sale/2100498792_zpid"
15105564,37.761298,-122.476615,1908,1,NA,2000-08-02,252000,2613,"SingleFamily",2015,315941,1812,94122,NA,NA
79844725,37.792255,-122.401245,1909,2,2,2006-10-19,277000,NA,"Condominium",2015,308370,964,94104,NA,NA
15142101,37.727793,-122.462995,1953,2,NA,NA,NA,3484,"SingleFamily",2015,91069,1902,94127,NA,NA
2099276060,37.789321,-122.413482,NA,NA,NA,NA,NA,NA,"SingleFamily",NA,NA,NA,94109,"$180,000","http://www.zillow.com/homes/for_sale/2099276060_zpid"
2100211489,37.715684,-122.47197,NA,NA,NA,NA,NA,3192,"VacantResidentialLand",NA,NA,NA,94132,"$150,000","http://www.zillow.com/homes/for_sale/2100211489_zpid"
15150813,37.75855,-122.395872,1925,2,3,2015-03-05,15600,1873,"SingleFamily",2015,851746,1990,94107,NA,NA
15116833,37.746388,-122.505277,1940,1.5,2,2016-01-06,158500,2996,"SingleFamily",2015,691611,1100,94116,NA,NA
15118316,37.747366,-122.466993,1956,1,2,2014-05-20,125000,2909,"SingleFamily",2015,661695,887,94116,NA,NA
15118589,37.744465,-122.503406,1946,2,3,2013-07-24,197500,2996,"SingleFamily",2015,653180,1200,94116,NA,NA
15118885,37.745316,-122.496599,1945,3,6,2015-06-23,11000,3000,"SingleFamily",2015,1101813,2412,94116,NA,NA
15119371,37.744965,-122.485828,1930,1,2,2015-05-29,190000,3000,"SingleFamily",2015,464974,1370,94116,NA,NA
15120326,37.743711,-122.474994,1928,2,NA,2013-08-29,200000,2996,"Duplex",2015,587012,3200,94116,NA,NA
15120766,37.743076,-122.489336,1951,2,4,2013-12-02,138000,3000,"SingleFamily",2015,745637,1616,94116,NA,NA
15120996,37.743587,-122.496478,1943,4,3,2015-04-09,17500,2996,"SingleFamily",2015,767146,2156,94116,NA,NA
15122791,37.741917,-122.473138,1930,2.5,4,2015-11-01,5700,3000,"SingleFamily",2015,1000500,2400,94116,NA,NA
15123195,37.740809,-122.475168,1928,1,NA,2015-03-09,195000,2548,"SingleFamily",2015,84504,2410,94116,NA,NA
15123303,37.740382,-122.479057,1924,1,NA,2014-06-16,101500,3600,"SingleFamily",2015,504197,1500,94116,NA,NA
15124022,37.738624,-122.496024,1943,1,2,2013-05-31,185000,1438,"SingleFamily",2015,477115,800,94116,NA,NA
15125066,37.738282,-122.48771,1936,2,3,2013-05-31,166000,2614,"SingleFamily",2015,570488,1842,94116,NA,NA
15133303,37.744232,-122.463546,1923,2.25,3,2015-12-24,184000,3833,"SingleFamily",2015,1189293,2282,94116,NA,NA
15134564,37.740284,-122.448143,1939,1,NA,2013-06-17,75000,2509,"SingleFamily",2015,979945,1490,94127,NA,NA
15134676,37.7426,-122.455139,1927,1,NA,2014-01-13,200000,3563,"SingleFamily",2015,57364,1400,94127,NA,NA
15135394,37.741809,-122.464542,1926,1,NA,2013-12-30,10000,3184,"SingleFamily",2015,317887,1325,94127,NA,NA
15135423,37.739884,-122.45993,1926,2,3,2015-06-09,5450,4273,"SingleFamily",2015,1448371,1570,94127,NA,NA
15135972,37.737618,-122.449951,1947,1,2,2014-08-25,200000,2556,"SingleFamily",2015,974450,1067,94127,NA,NA
15136217,37.735994,-122.446595,1940,1,2,2015-03-27,8000,2953,"SingleFamily",2015,893047,1050,94127,NA,NA
15136683,37.740494,-122.451814,1950,2,3,2013-05-17,142000,4199,"SingleFamily",2015,360480,1150,94127,NA,NA
15137291,37.733868,-122.46283,1900,2.5,4,2015-03-18,10000,4199,"SingleFamily",2015,461900,3121,94127,NA,NA
15137354,37.733582,-122.46077,1941,3,3,2015-03-16,16000,4534,"SingleFamily",2015,1216059,2679,94127,NA,NA
15138053,37.737575,-122.466985,1916,1,2,2013-10-04,90000,4499,"SingleFamily",2015,734879,1622,94127,NA,NA
15139620,37.729724,-122.452689,1923,1,2,2015-09-17,178500,2879,"SingleFamily",2015,370350,1047,94112,NA,NA
